habitatColourID,colourName_forUserInfoOnly,colourRangeMin,colourRangeMax,habitatType,habitatSwitchedOn?,ONLY FLOWER DATA BEYOND THIS COLUMN!,Alsike_clover,American_willowherb,Average_Willow,Bell_heather,Birdsfoot_trefoil,Blackthorn,Bramble,Buckwheat,Bugle,Burdock,Buttercup,Charlock,Chicory,Comfrey,Common_bluebell,Common_cats_ear,Common_field_speedwell,Common_fumitory,Common_knapweed,Common_mouse_ear,Common_vetch,Creeping_buttercup,Crop_Apple,Crop_Cereals,Crop_Field_beans,Crop_Maize,Crop_Oilseed_rape,Cross_leaved_heath,Daisy,Dandelion,Dog_rose,Field_pansy,Field_scabious,Field_woundwort,Foxglove,Germander_speedwell,Giant_bindweed,Gorse,Greater_birdsfoot_trefoil,Greater_knapweed,Ground_ivy,Hawthorn,Heath_speedwell,Hedge_bindweed,Hedge_woundwort,Ling,Marsh_thistle,Meadow_buttercup,Meadowsweet,Oilseed_rape,Ox-eye_daisy,Phacelia,Prickly_sow_thistle,Ragwort,Red_campion,Red_clover,Red_dead_nettle,Redshank,Ribwort_plantain,Rosebay_willowherb,Salad_burnet,Scarlet_pimpernel,Selfheal,Silverweed,Smooth_hawksbeard,Spear_thistle,St_Johns_wort,Sunflower,Tormentil,Tufted_vetch,Vipers_bugloss,White_clover,White_dead_nettle,White_mustard,Wild_carrot,Wild_radish,Wild_teasel,Yarrow,Yellow_rattle
55,green,53,57,Crop_Maize,TRUE,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,darklime,62,62,Permanent_pasture_GS2,TRUE,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432692308,0,0,0,0,0,0,0,1.73E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.875,0,0,0,0,0,0,0
65,lime,63,67,Permanent_pasture,TRUE,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.603125,0,0.0125,0,0,0,0,0,0,0,0.009375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0015625,0,0,0,0,0,0,0,0.00625,0,0,0.034375,0,0,0,0,0,0.0308,0,0,0,0,0,0,0.707692308,0,0,0,0,0,0.025,0
75,turquoise,73,77,Crop_Cereals,TRUE,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,cyan,83,87,Heath,TRUE,n/a,0,0,0,44.29934023,0,0,0.045,0,0,0,0,0,0,0,0.176470588,0,0,0,0,0,0,0,0,0,0,0,0,5.046657438,0,0,0,0,0.0048,0,0,0,0,0.204914861,0.01,0,0,0,0.409388336,0,0,103.576494,0,0,0,0,0,0,0,0,0.0086,0,0,0,0.0092,0,0,0,0,5.13E-02,0,0,0,0,2.952176265,0,0,0,0,0,0,0,0,0,0
92,darksky,92,92,Legume_3,TRUE,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.02,0,0,0,0,0,0,0,0.1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.123,0,0,0,0,0,0,0,0,0,0,0,0,16.13077,0,0,0,0,0,0,0
95,sky,93,97,Traditional_orchard,TRUE,n/a,0,0,0,0,7.1375,0,0,0,0,0,0,0,0,0,0.039,0.509090909,0,0,2.05E-02,0.263333333,0,0.826785714,50,0,0,0,0,0,0,0.068,0,0,0.04375,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0.0143,0,0,0.133333333,0,0,0,0,0.0321,0,0,0.996666667,0,0,0,0.025,0,2.275,0,0,0,0,0,0,1.375,0,0,0,0,0,2.686111111,4.95
98,lightsky,98,98,Nectar_plot,TRUE,n/a,0,0,0,0,5.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.058333333,0,30.805,0,0,0,0,0,0,0,0.017,0,0,0,0,0,0.16875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.855,0.033,0,0,0,0,0,0.01875,0,0.10625,0,0,0,0,0,0,1.725,0,0,0,0,0,0,0
102,darkblue,102,102,Wetland_mosaic,TRUE,n/a,0,0,1.899332197,0,0,0,0.253949744,0,0,0,0,0,0,0,0,0,0,0,1.19E-02,2.77E-02,0,0.853305322,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.0183,0,0,2.915,0,0,0,0,0.259008781,2.08E-02,0,0.536528499,0.0318,9.43239665,0,0,0,0,0,0.005,0,0,0,0.215576441,0,0,0,0.0846,0.0556,0,0.0083,0,0,0.311363636,0,0,0,0,0,0,0,0,0,0
105,blue,103,107,Hedgerow,TRUE,n/a,0,0,1.275,0,0.037380952,0.138599335,0.33076225,0,0.119047619,0.005,0.380933333,0,0,0.041666667,0.057037037,0,0,0,0.220238095,0,0.131818182,0,0,0,0,0,0,0,0,0.110447154,0.094396552,0,0.008333333,0,0.065,0,0.046666667,0,0,0,0.062681159,0.696011717,0,0.000284199,0.043333333,0,0.004333333,0,0,0.052083333,0,0,0,0.016666667,0,0.045833333,0.099761905,0,0,0.127291667,0,0,0.038333333,0,0,0.0075,0.001666667,0,0,0.046071429,0,0.39530303,0.135151515,0,0,0,0.0225,0,0
